Date,Open,High,Low,Close,Adj Close,Volume
1996-10-22,3.065000,3.065000,3.065000,3.065000,1.661861,268100000
1996-10-23,3.055000,3.055000,3.055000,3.055000,1.656439,38200000
1996-10-24,2.985000,2.985000,2.985000,2.985000,1.618484,71500000
1996-10-25,2.985000,2.985000,2.985000,2.985000,1.618484,12400000
1996-10-28,2.950000,2.950000,2.950000,2.950000,1.599506,9600000
1996-10-29,2.935000,2.935000,2.935000,2.935000,1.591374,52400000
1996-10-30,2.975000,2.975000,2.975000,2.975000,1.613062,3400000
1996-10-31,2.985000,2.985000,2.985000,2.985000,1.618484,65900000
1996-11-01,3.020000,3.020000,3.020000,3.020000,1.637461,6000000
1996-11-04,3.010000,3.010000,3.010000,3.010000,1.632039,26881500
1996-11-05,3.015000,3.015000,3.015000,3.015000,1.634750,6158900
1996-11-06,3.015000,3.015000,3.015000,3.015000,1.634750,5695500
1996-11-07,2.995000,2.995000,2.995000,2.995000,1.623906,64000
1996-11-08,2.975000,2.975000,2.975000,2.975000,1.613062,15067600
1996-11-11,2.975000,2.975000,2.975000,2.975000,1.613062,316600
1996-11-12,2.995000,2.995000,2.995000,2.995000,1.623906,15270000
1996-11-13,3.000000,3.000000,3.000000,3.000000,1.626617,2694000
1996-11-14,3.000000,3.000000,3.000000,3.000000,1.626617,128000
1996-11-15,3.000000,3.000000,3.000000,3.000000,1.626617,5700000
1996-11-18,2.985000,2.985000,2.985000,2.985000,1.618484,2701600
1996-11-19,2.985000,2.985000,2.985000,2.985000,1.618484,4704800
1996-11-20,2.985000,2.985000,2.985000,2.985000,1.618484,189400
1996-11-21,2.985000,2.985000,2.985000,2.985000,1.618484,600000
1996-11-22,2.965000,2.965000,2.965000,2.965000,1.607639,2630000
1996-11-25,2.960000,2.960000,2.960000,2.960000,1.604928,3788200
1996-11-26,2.945000,2.945000,2.945000,2.945000,1.596796,39694300
1996-11-27,2.945000,2.945000,2.945000,2.945000,1.596796,0
1996-11-28,2.945000,2.945000,2.945000,2.945000,1.596796,275100
1996-11-29,2.945000,2.945000,2.945000,2.945000,1.596796,515300
1996-12-02,2.945000,2.945000,2.945000,2.945000,1.596796,2097500
1996-12-03,2.955000,2.955000,2.955000,2.955000,1.602218,23685300
1996-12-04,2.955000,2.955000,2.955000,2.955000,1.602218,5517300
1996-12-05,2.965000,2.965000,2.965000,2.965000,1.607639,35185900
1996-12-06,2.935000,2.935000,2.935000,2.935000,1.591374,22547800
1996-12-09,2.950000,2.950000,2.950000,2.950000,1.599506,19225000
1996-12-10,2.950000,2.950000,2.950000,2.950000,1.599506,2100000
1996-12-11,2.950000,2.950000,2.950000,2.950000,1.599506,100000
1996-12-12,2.960000,2.960000,2.960000,2.960000,1.604928,9631300
1996-12-13,3.000000,3.000000,3.000000,3.000000,1.626617,57146300
1996-12-16,3.035000,3.035000,3.035000,3.035000,1.645594,1100000
1996-12-17,3.045000,3.045000,3.045000,3.045000,1.651016,53200
1996-12-18,3.050000,3.050000,3.050000,3.050000,1.653727,160000
1996-12-19,3.050000,3.050000,3.050000,3.050000,1.653727,700000
1996-12-20,3.060000,3.060000,3.060000,3.060000,1.659150,50000
1996-12-23,3.065000,3.065000,3.065000,3.065000,1.661861,6722400
1996-12-24,3.065000,3.065000,3.065000,3.065000,1.661861,1000000
1996-12-25,3.065000,3.065000,3.065000,3.065000,1.661861,0
1996-12-26,3.065000,3.065000,3.065000,3.065000,1.661861,0
1996-12-27,3.065000,3.065000,3.065000,3.065000,1.661861,200000
1996-12-30,3.175000,3.175000,3.175000,3.175000,1.721503,3511400
1996-12-31,3.460000,3.460000,3.460000,3.460000,1.876032,10420000
1997-01-01,3.460000,3.460000,3.460000,3.460000,1.876032,0
1997-01-02,3.335000,3.335000,3.335000,3.335000,1.808256,30676200
1997-01-03,3.345000,3.345000,3.345000,3.345000,1.813678,38825000
1997-01-06,3.405000,3.405000,3.405000,3.405000,1.846210,195044400
1997-01-07,3.405000,3.405000,3.405000,3.405000,1.846210,21201700
1997-01-08,3.425000,3.425000,3.425000,3.425000,1.857054,124031000
1997-01-09,3.355000,3.355000,3.355000,3.355000,1.819100,7265000
1997-01-10,3.350000,3.350000,3.350000,3.350000,1.816389,720800
1997-01-13,3.350000,3.350000,3.350000,3.350000,1.816389,9563400
1997-01-14,3.345000,3.345000,3.345000,3.345000,1.813678,20804500
1997-01-15,3.325000,3.325000,3.325000,3.325000,1.802834,12537300
1997-01-16,3.405000,3.405000,3.405000,3.405000,1.846210,7392000
1997-01-17,3.425000,3.425000,3.425000,3.425000,1.857054,9944600
1997-01-20,3.415000,3.415000,3.415000,3.415000,1.851633,1538000
1997-01-21,3.250000,3.250000,3.250000,3.250000,1.762168,11552900
1997-01-22,3.215000,3.215000,3.215000,3.215000,1.743191,4940000
1997-01-23,3.245000,3.245000,3.245000,3.245000,1.759457,4357300
1997-01-24,3.250000,3.250000,3.250000,3.250000,1.762168,9526500
1997-01-27,3.250000,3.250000,3.250000,3.250000,1.762168,346500
1997-01-28,3.250000,3.250000,3.250000,3.250000,1.762168,20016200
1997-01-29,3.250000,3.250000,3.250000,3.250000,1.762168,10230000
1997-01-30,3.285000,3.285000,3.285000,3.285000,1.781146,12565000
1997-01-31,3.285000,3.285000,3.285000,3.285000,1.781146,515000
1997-02-03,3.280000,3.280000,3.280000,3.280000,1.778435,4980600
1997-02-04,3.280000,3.280000,3.280000,3.280000,1.778435,39272500
1997-02-05,3.350000,3.350000,3.350000,3.350000,1.816389,13749300
1997-02-06,3.360000,3.360000,3.360000,3.360000,1.821811,1454100
1997-02-07,3.435000,3.435000,3.435000,3.435000,1.862477,7095000
1997-02-10,3.460000,3.460000,3.460000,3.460000,1.876032,2550000
1997-02-11,3.495000,3.495000,3.495000,3.495000,1.895008,9644600
1997-02-12,3.525000,3.525000,3.525000,3.525000,1.911275,16232900
1997-02-13,3.555000,3.555000,3.555000,3.555000,1.927542,168000
1997-02-14,3.540000,3.540000,3.540000,3.540000,1.919407,20512000
1997-02-17,3.540000,3.540000,3.540000,3.540000,1.919407,1775000
1997-02-18,3.540000,3.540000,3.540000,3.540000,1.919407,1679000
1997-02-19,3.545000,3.545000,3.545000,3.545000,1.922119,2086200
1997-02-20,3.550000,3.550000,3.550000,3.550000,1.924829,130000
1997-02-21,3.545000,3.545000,3.545000,3.545000,1.922119,908900
1997-02-24,3.525000,3.525000,3.525000,3.525000,1.911275,729500
1997-02-25,3.535000,3.535000,3.535000,3.535000,1.916697,2759000
1997-02-26,3.575000,3.575000,3.575000,3.575000,1.938385,2590000
1997-02-27,3.575000,3.575000,3.575000,3.575000,1.938385,20000
1997-02-28,3.575000,3.575000,3.575000,3.575000,1.938385,379000
1997-03-03,3.575000,3.575000,3.575000,3.575000,1.938385,440000
1997-03-04,3.595000,3.595000,3.595000,3.595000,1.949230,7256900
1997-03-05,3.595000,3.595000,3.595000,3.595000,1.949230,0
1997-03-06,3.595000,3.595000,3.595000,3.595000,1.949230,54000
1997-03-07,3.600000,3.600000,3.600000,3.600000,1.951941,5993400
1997-03-10,3.625000,3.625000,3.625000,3.625000,1.965495,663100
1997-03-11,3.625000,3.625000,3.625000,3.625000,1.965495,25545000
1997-03-12,3.650000,3.650000,3.650000,3.650000,1.979051,666000
