Date,Open,High,Low,Close,Adj Close,Volume
1995-12-28,223.148300,223.148300,223.148300,223.148300,74.847771,11899057
1995-12-29,215.352707,215.352707,215.352707,215.352707,72.233017,5475413
1996-01-01,215.352707,215.352707,215.352707,215.352707,72.233017,0
1996-01-02,207.232300,207.232300,207.232300,207.232300,69.509270,18731260
1996-01-03,211.130096,211.130096,211.130096,211.130096,70.816650,23527447
1996-01-04,213.728607,213.728607,213.728607,213.728607,71.688255,19655340
1996-01-05,207.882004,207.882004,207.882004,207.882004,69.727180,9164943
1996-01-08,209.181198,209.181198,209.181198,209.181198,70.162964,5696479
1996-01-09,203.334503,203.334503,203.334503,203.334503,68.201889,12719741
1996-01-10,203.984207,203.984207,203.984207,203.984207,68.419830,24291373
1996-01-11,201.385605,201.385605,201.385605,201.385605,67.548195,23387537
1996-01-12,200.735992,200.735992,200.735992,200.735992,67.330315,14853087
1996-01-15,205.933105,205.933105,205.933105,205.933105,69.073502,10733457
1996-01-16,212.429398,212.429398,212.429398,212.429398,71.252480,11791904
1996-01-17,211.779694,211.779694,211.779694,211.779694,71.034546,15714968
1996-01-18,221.199402,221.199402,221.199402,221.199402,74.194099,1375909
1996-01-19,225.421997,225.421997,225.421997,225.421997,75.610443,14753838
1996-01-22,224.122696,224.122696,224.122696,224.122696,75.174599,10956753
1996-01-23,222.498703,222.498703,222.498703,222.498703,74.629906,5899207
1996-01-24,222.823502,222.823502,222.823502,222.823502,74.738846,18121197
1996-01-25,218.925705,218.925705,218.925705,218.925705,73.431465,21841480
1996-01-26,223.148300,223.148300,223.148300,223.148300,74.847771,25498014
1996-01-29,217.626404,217.626404,217.626404,217.626404,72.995628,51023762
1996-01-30,206.907501,206.907501,206.907501,206.907501,69.400345,52753913
1996-01-31,209.505997,209.505997,209.505997,209.505997,70.271912,28429490
1996-02-01,209.830902,209.830902,209.830902,209.830902,70.380898,10776111
1996-02-02,209.181198,209.181198,209.181198,209.181198,70.162964,15636403
1996-02-05,207.882004,207.882004,207.882004,207.882004,69.727180,7405547
1996-02-06,212.429398,212.429398,212.429398,212.429398,71.252480,7467032
1996-02-07,212.429398,212.429398,212.429398,212.429398,71.252480,9898722
1996-02-08,210.480499,210.480499,210.480499,210.480499,70.598747,15396609
1996-02-09,207.882004,207.882004,207.882004,207.882004,69.727180,20326391
1996-02-12,208.531601,208.531601,208.531601,208.531601,69.945076,7201714
1996-02-13,212.754196,212.754196,212.754196,212.754196,71.361420,12353199
1996-02-14,217.626404,217.626404,217.626404,217.626404,72.995628,29467457
1996-02-15,225.746796,225.746796,225.746796,225.746796,75.719360,20196542
1996-02-16,221.848999,221.848999,221.848999,221.848999,74.411964,13110711
1996-02-19,220.874603,220.874603,220.874603,220.874603,74.085136,4402569
1996-02-20,215.027893,215.027893,215.027893,215.027893,72.124046,0
1996-02-21,212.429398,212.429398,212.429398,212.429398,71.252480,16024176
1996-02-22,209.830902,209.830902,209.830902,209.830902,70.380898,0
1996-02-23,209.181198,209.181198,209.181198,209.181198,70.162964,11917335
1996-02-26,205.283401,205.283401,205.283401,205.283401,70.564919,23030960
1996-02-27,208.531601,208.531601,208.531601,208.531601,71.681473,16423028
1996-02-28,212.429398,212.429398,212.429398,212.429398,73.021324,12122130
1996-02-29,212.104599,212.104599,212.104599,212.104599,72.909683,18580332
1996-03-01,213.403793,213.403793,213.403793,213.403793,73.356270,5984250
1996-03-04,216.976807,216.976807,216.976807,216.976807,74.584473,0
1996-03-05,218.276093,218.276093,218.276093,218.276093,75.031082,20752316
1996-03-06,216.976807,216.976807,216.976807,216.976807,74.584473,7253768
1996-03-07,209.181198,209.181198,209.181198,209.181198,71.904770,14103598
1996-03-08,206.582703,206.582703,206.582703,206.582703,71.011551,24254860
1996-03-11,203.009705,203.009705,203.009705,203.009705,69.783363,18755354
1996-03-12,192.940399,192.940399,192.940399,192.940399,66.322105,22772627
1996-03-13,196.513397,196.513397,196.513397,196.513397,67.550293,23089674
1996-03-14,197.812698,197.812698,197.812698,197.812698,67.996941,22164707
1996-03-15,191.316406,191.316406,191.316406,191.316406,65.763847,12062034
1996-03-18,199.436798,199.436798,199.436798,199.436798,68.555183,106757
1996-03-19,201.385605,201.385605,201.385605,201.385605,69.225075,9532736
1996-03-20,202.035294,202.035294,202.035294,202.035294,69.448410,9885503
1996-03-21,205.933105,205.933105,205.933105,205.933105,70.788246,27407670
1996-03-22,205.608200,205.608200,205.608200,205.608200,70.676575,14413365
1996-03-25,202.360107,202.360107,202.360107,202.360107,69.560059,9169584
1996-03-26,195.539001,195.539001,195.539001,195.539001,67.215340,19675493
1996-03-27,198.787094,198.787094,198.787094,198.787094,68.331863,11443169
1996-03-28,200.086395,200.086395,200.086395,200.086395,68.778488,14426685
1996-03-29,203.009705,203.009705,203.009705,203.009705,69.783363,12171242
1996-04-01,206.907501,206.907501,206.907501,206.907501,71.123207,15960906
1996-04-02,204.633804,204.633804,204.633804,204.633804,70.341629,12236170
1996-04-03,204.309006,204.309006,204.309006,204.309006,70.229996,13095845
1996-04-04,205.283401,205.283401,205.283401,205.283401,70.564919,16540729
1996-04-05,205.283401,205.283401,205.283401,205.283401,70.564919,0
1996-04-08,205.283401,205.283401,205.283401,205.283401,70.564919,0
1996-04-09,206.907501,206.907501,206.907501,206.907501,71.123207,8004292
1996-04-10,208.206802,208.206802,208.206802,208.206802,71.569832,11470182
1996-04-11,207.232300,207.232300,207.232300,207.232300,71.234840,6537927
1996-04-12,209.181198,209.181198,209.181198,209.181198,71.904770,17983763
1996-04-15,212.429398,212.429398,212.429398,212.429398,73.021324,5017096
1996-04-16,215.677505,215.677505,215.677505,215.677505,74.137817,9187220
1996-04-17,215.352707,215.352707,215.352707,215.352707,74.026184,11665595
1996-04-18,213.078995,213.078995,213.078995,213.078995,73.244606,13913250
1996-04-19,212.754196,212.754196,212.754196,212.754196,73.132965,21843497
1996-04-22,209.830902,209.830902,209.830902,209.830902,72.128105,11620136
1996-04-23,208.531601,208.531601,208.531601,208.531601,71.681473,14266602
1996-04-24,207.557098,207.557098,207.557098,207.557098,71.346512,8692800
1996-04-25,208.856400,208.856400,208.856400,208.856400,71.793121,12904390
1996-04-26,209.830902,209.830902,209.830902,209.830902,72.128105,5859217
1996-04-29,207.232300,207.232300,207.232300,207.232300,71.234840,9508692
1996-04-30,206.907501,206.907501,206.907501,206.907501,71.123207,3808554
1996-05-01,203.984207,203.984207,203.984207,203.984207,70.118347,13414848
1996-05-02,203.984207,203.984207,203.984207,203.984207,70.118347,14687285
1996-05-03,200.411194,200.411194,200.411194,200.411194,68.890121,29617964
1996-05-06,200.411194,200.411194,200.411194,200.411194,68.890121,0
1996-05-07,200.411194,200.411194,200.411194,200.411194,68.890121,13825074
1996-05-08,199.436798,199.436798,199.436798,199.436798,68.555183,21232
1996-05-09,201.385605,201.385605,201.385605,201.385605,69.225075,6219217
1996-05-10,203.334503,203.334503,203.334503,203.334503,69.895004,11136943
1996-05-13,203.659393,203.659393,203.659393,203.659393,70.006676,6599740
1996-05-14,204.309006,204.309006,204.309006,204.309006,70.229996,3115692
1996-05-15,209.830902,209.830902,209.830902,209.830902,72.128105,11495060
1996-05-16,210.805298,210.805298,210.805298,210.805298,72.463036,7136556
1996-05-17,216.976807,216.976807,216.976807,216.976807,74.584473,14065792
1996-05-20,212.104599,212.104599,212.104599,212.104599,72.909683,6487415
1996-05-21,211.779694,211.779694,211.779694,211.779694,72.797981,6049422
1996-05-22,204.309006,204.309006,204.309006,204.309006,70.229996,6595570
1996-05-23,204.633804,204.633804,204.633804,204.633804,70.341629,14552205
1996-05-24,205.283401,205.283401,205.283401,205.283401,70.564919,6589448
1996-05-27,205.283401,205.283401,205.283401,205.283401,70.564919,0
1996-05-28,202.684906,202.684906,202.684906,202.684906,69.671707,4502714
1996-05-29,206.907501,206.907501,206.907501,206.907501,71.123207,4126756
1996-05-30,202.684906,202.684906,202.684906,202.684906,69.671707,10998866
1996-05-31,203.334503,203.334503,203.334503,203.334503,69.895004,8448626
1996-06-03,203.334503,203.334503,203.334503,203.334503,69.895004,6857112
1996-06-04,207.232300,207.232300,207.232300,207.232300,71.234840,7317714
1996-06-05,209.830902,209.830902,209.830902,209.830902,72.128105,8281938
1996-06-06,204.309006,204.309006,204.309006,204.309006,70.229996,9285025
1996-06-07,198.787094,198.787094,198.787094,198.787094,68.331863,19579354
1996-06-10,200.735992,200.735992,200.735992,200.735992,69.001778,5777328
1996-06-11,204.958603,204.958603,204.958603,204.958603,70.453285,4259099
1996-06-12,202.684906,202.684906,202.684906,202.684906,69.671707,6898530
1996-06-13,201.385605,201.385605,201.385605,201.385605,69.225075,8430340
1996-06-14,201.385605,201.385605,201.385605,201.385605,69.225075,7478356
1996-06-17,200.411194,200.411194,200.411194,200.411194,68.890121,5895121
1996-06-18,201.385605,201.385605,201.385605,201.385605,69.225075,7681228
1996-06-19,205.283401,205.283401,205.283401,205.283401,70.564919,17049465
1996-06-20,202.684906,202.684906,202.684906,202.684906,69.671707,5722797
1996-06-21,204.309006,204.309006,204.309006,204.309006,70.229996,22004460
1996-06-24,204.958603,204.958603,204.958603,204.958603,70.453285,4736021
1996-06-25,199.111893,199.111893,199.111893,199.111893,68.443504,5097517
1996-06-26,198.137497,198.137497,198.137497,198.137497,68.108559,7995818
1996-06-27,198.137497,198.137497,198.137497,198.137497,68.108559,5820771
1996-06-28,204.633804,204.633804,204.633804,204.633804,70.341629,15105993
1996-07-01,207.882004,207.882004,207.882004,207.882004,71.458168,23206839
1996-07-02,209.181198,209.181198,209.181198,209.181198,71.904770,13789874
1996-07-03,210.805298,210.805298,210.805298,210.805298,72.463036,8762995
1996-07-04,215.677505,215.677505,215.677505,215.677505,74.137817,15674300
